publication_title,publication_url,product_sku,product_price,product_category,product_city,product_zone,product_neighborhood,business_type,product_type,antiquity,stratum,isUsed,featured,longitude,latitude,privateArea,builtArea,rooms,bathrooms,garages,adminPrice
"Apartamento en Venta, LA AURORA, Bucaramanga",/inmueble/venta-apartamento-bucaramanga-la-aurora-3-habitaciones-2-banos-1-garajes/16721-M4847562,16721-M4847562,580000000,venta - Apartamento,Bucaramanga,Centro,LA AURORA,venta,Apartamento,Entre 0 y 5 años,4,true,"[""Apto para niños"",""Aire acondicionado"",""Alarma"",""Calefacción"",""Citófonos"",""Tipo de cortinas persianas"",""Estudio o biblioteca"",""Parqueadero cubierto"",""Hall de alcobas"",""Equipado / amoblado"",""Puerta seguridad"",""Sauna / turco"",""Zona de lavandería"",""Instalación de gas natural"",""Closets 3"",""Piso 10"",""Calentador gas"",""Tipo de cocina paralela"",""Tipo de comedor sala comedor"",""Deposito 0"",""Tipo de estufa gas"",""Tipo de parqueadero propio"",""Tipo acabado de piso porcelanato"",""Tipo de piso en alcobas porcelanato"",""Tipo de piso en comedor porcelanato"",""Tipo de piso en estudio porcelanato"",""Tipo de piso en sala porcelanato"",""Vista interior"",""Area Terraza/Balcón 6 m²"",""Ascensor"",""Acceso para discapacitados"",""Circuito cerrado de TV"",""Piscina"",""Vista panorámica"",""Conjunto cerrado"",""Número de Ascensores 2"",""Terraza/Balcón balcón"",""Vigilancia 24hrs"",""Cancha(s) de basket"",""Cancha(s) de fútbol"",""Gimnasio"",""Salón comunal"",""Zona para niños"",""Cerca centros comerciales"",""Cerca colegios / universidades"",""Cerca parques"",""Cerca supermercados"",""Sobre vía principal""]",-73.11757,7.1269264,100,100,3,2,1,380000
"Apartamento en Venta, CABECERA DEL LLANO, Bucaramanga",/inmueble/venta-apartamento-bucaramanga-cabecera-del-llano-4-habitaciones-3-banos-1-garajes/11295-M3197920,11295-M3197920,716189794,venta - Apartamento,Bucaramanga,,CABECERA DEL LLANO,venta,Apartamento,Entre 10 y 20 años,6,true,"[""Zona de lavandería"",""Piso 0"",""Deposito 1"",""Conjunto cerrado""]",0,0,325,325,4,3,1,1870000
"Apartamento en Venta, Mejoras Publicas, Bucaramanga",/inmueble/venta-apartamento-bucaramanga-mejoras-publicas-1-habitaciones-1-banos-1-garajes/394-M3614938,394-M3614938,220000000,venta - Apartamento,Bucaramanga,Centro,MEJORAS PUBLICAS,venta,Apartamento,Entre 5 y 10 años,4,true,"[""Citófonos"",""Cocina integral"",""Piso 10"",""Ascensor"",""Circuito cerrado de TV"",""Parqueadero visitantes"",""Piscina"",""Portería"",""Terraza/Balcón balcón"",""Gimnasio"",""Salón comunal"",""Sobre vía principal""]",-73.11589,7.120115,46.6,46.6,1,1,1,196200
"Apartamento en Venta, El Prado, Bucaramanga",/inmueble/venta-apartamento-bucaramanga-el-prado-3-habitaciones-3-banos-1-garajes/314-M4616643,314-M4616643,240000000,venta - Apartamento,Bucaramanga,Nororiente,EL PRADO,venta,Apartamento,Más de 20 años,5,true,"[""Cuarto de servicio"",""Instalación de gas ninguno"",""Tipo de cocina lineal"",""Tipo de comedor sala comedor"",""Tipo acabado de piso otro"",""Tipo de piso en alcobas otro"",""Tipo de piso en comedor otro"",""Tipo de piso en estudio otro"",""Tipo de piso en sala otro"",""Vigilancia 0""]",-73.109,7.123,94,94,3,3,1,null
"Apartamento en Venta, Palmas 42 Hall, Bucaramanga",/inmueble/venta-apartamento-bucaramanga-sotomayor-1-habitaciones-1-banos-1-garajes/16508-M4761511,16508-M4761511,210000000,venta - Apartamento,Bucaramanga,Centro,SOTOMAYOR,venta,Apartamento,Entre 5 y 10 años,5,true,"[""Apto para niños"",""Citófonos"",""Tipo de cortinas ninguna"",""Parqueadero cubierto"",""Zona de lavandería"",""Instalación de gas natural"",""Closets 1"",""Piso 4"",""Calentador gas"",""Tipo de cocina lineal"",""Tipo de comedor sala comedor"",""Tipo de estufa gas"",""Tipo de parqueadero propio"",""Tipo acabado de piso porcelanato"",""Tipo de piso en alcobas porcelanato"",""Tipo de piso en comedor porcelanato"",""Tipo de piso en estudio porcelanato"",""Tipo de piso en sala porcelanato"",""Vista interior"",""Ascensor"",""Acceso para discapacitados"",""Piscina"",""Conjunto cerrado"",""Número de Ascensores 2"",""Terraza/Balcón ninguno"",""Vigilancia 24hrs"",""Gimnasio"",""Salón comunal"",""Zona de BBQ"",""Cerca centros comerciales"",""Cerca colegios / universidades"",""Cerca parques"",""Cerca supermercados"",""Cerca transporte público""]",-73.11264,7.1205797,35,35,1,1,1,260000
"Apartamento en Venta, EL PRADO, Bucaramanga",/inmueble/venta-apartamento-bucaramanga-alvarez-las-americas-2-habitaciones-2-banos-1-garajes/16609-M4729160,16609-M4729160,225000000,venta - Apartamento,Bucaramanga,Nororiente,ALVAREZ LAS AMERICAS,venta,Apartamento,Más de 20 años,4,true,"[""Apto para niños"",""Citófonos"",""Tipo de cortinas ninguna"",""Parqueadero cubierto"",""Zona de lavandería"",""Instalación de gas natural"",""Closets 2"",""Piso 1"",""Tipo de cocina lineal"",""Tipo de comedor sala comedor"",""Deposito 0"",""Tipo de estufa gas"",""Tipo de parqueadero propio"",""Tipo acabado de piso cerámica"",""Vista interior"",""Circuito cerrado de TV"",""Número de Ascensores 0"",""Terraza/Balcón ninguno"",""Cerca colegios / universidades"",""Cerca parques"",""Cerca supermercados"",""Cerca transporte público""]",-73.11161,7.126128,59.33,52.73,2,2,1,60000
"Apartamento en Venta, SAN ALONSO, Bucaramanga",/inmueble/venta-apartamento-bucaramanga-san-alonso-3-habitaciones-4-banos-2-garajes/2489-M4812220,2489-M4812220,550000000,venta - Apartamento,Bucaramanga,Noroccidente,SAN ALONSO,venta,Apartamento,Entre 0 y 5 años,4,true,"[""Estudio o biblioteca"",""Parqueadero cubierto"",""Zona de lavandería"",""Instalación de gas natural"",""Piso 15"",""Calentador gas"",""Tipo de cocina abierta"",""Tipo de comedor sala comedor"",""Deposito 1"",""Tipo de estufa gas"",""Tipo de parqueadero independiente"",""Vista exterior"",""Area Terraza/Balcón 20 m²"",""Vista panorámica"",""Terraza/Balcón terraza""]",-73.11769,7.1330504,142,187,3,4,2,471000
"Apartamento en Venta, CABECERA DEL LLANO, Bucaramanga",/inmueble/venta-apartamento-bucaramanga-cabecera-del-hato-2-habitaciones-2-banos/12499-2292,12499-2292,240000000,venta - Apartamento,Bucaramanga,Nororiente,CABECERA DEL HATO,venta,Apartamento,Entre 10 y 20 años,6,true,"[""Piso 1""]",-73.108154,7.121808,50,50,2,2,0,316000
"Apartamento en Venta, San Francisco, Bucaramanga",/inmueble/venta-apartamento-bucaramanga-mejoras-publicas-3-habitaciones-2-banos-1-garajes/10159-M4856825,10159-M4856825,240300000,venta - Apartamento,Bucaramanga,Noroccidente,MEJORAS PUBLICAS,venta,Apartamento,Entre 5 y 10 años,3,true,"[""Baño auxiliar"",""Citófonos"",""Vigilancia"",""Zona de lavandería"",""Piso 10"",""Ascensor"",""Baños de servicio"",""Vista panorámica"",""Portería"",""Salón comunal"",""Zona de BBQ"",""Cerca transporte público"",""Zona comercial"",""Zona residencial""]",-73.11521,7.1241937,74,74,3,2,1,311000
"Casa en Venta, Terrazas, Bucaramanga",/inmueble/venta-casa-bucaramanga-cabecera-del-llano-5-habitaciones-3-banos-1-garajes/314-M4131711,314-M4131711,640000000,venta - Casa,Bucaramanga,Nororiente,CABECERA DEL LLANO,venta,Casa,Más de 20 años,5,true,"[""Estudio o biblioteca"",""Instalación de gas ninguno"",""Tipo de cocina lineal"",""Tipo de comedor sala comedor"",""Tipo acabado de piso otro"",""Tipo de piso en alcobas otro"",""Tipo de piso en comedor otro"",""Tipo de piso en estudio otro"",""Tipo de piso en sala otro"",""Area Terraza/Balcón 1.0 m²"",""Jardín"",""Terraza/Balcón terraza"",""Vigilancia 0""]",-73.108,7.109,260,260,5,3,1,null
"Apartamento en Venta, Bolivar, Bucaramanga",/inmueble/venta-apartamento-bucaramanga-bolavar-3-habitaciones-2-banos-1-garajes/16401-M4887481,16401-M4887481,300000000,venta - Apartamento,Bucaramanga,Centro,BOLAVAR,venta,Apartamento,Entre 0 y 5 años,4,true,"[""Calentador no tiene""]",-73.12085,7.11844,71.65,71.95,3,2,1,280000
"Casa en Venta, NUEVO SOTOMAYOR, Bucaramanga",/inmueble/venta-casa-bucaramanga-la-concordia-2-habitaciones-2-banos-2-garajes/5066-M4886100,5066-M4886100,750000000,venta - Casa,Bucaramanga,Centro,LA CONCORDIA,venta,Casa,Más de 20 años,3,true,"[""Ancho 9 m"",""Cuarto de servicio"",""Estudio o biblioteca"",""Parqueadero cubierto"",""Zona de lavandería"",""Fondo 20 m"",""Instalación de gas natural"",""Closets 0"",""Calentador gas"",""Tipo de casa tradicional"",""Tipo de cocina paralela"",""Tipo de comedor sala comedor"",""Tipo de estufa gas"",""Tipo de parqueadero propio"",""Tipo acabado de piso marmol"",""Vista exterior"",""Area lote 180 m²"",""Area Terraza/Balcón 147 m²"",""Terraza/Balcón terraza"",""Cerca centros comerciales"",""Cerca colegios / universidades"",""Cerca parques"",""Cerca supermercados"",""Cerca transporte público"",""Sobre vía principal""]",-73.11737,7.1115575,435,435,2,2,2,0
"Casa en Venta, LAGOS DEL CACIQUE, Bucaramanga",/inmueble/venta-casa-bucaramanga-lagos-del-cacique-5-habitaciones-5-banos-3-garajes/16955-M4885330,16955-M4885330,2500000000,venta - Casa,Bucaramanga,Suroriente,LAGOS DEL CACIQUE,venta,Casa,Entre 10 y 20 años,6,true,"[""Apto para niños"",""Chimenea"",""Comedor auxiliar"",""Tipo de cortinas con velos"",""Cuarto de servicio"",""Estudio o biblioteca"",""Parqueadero cubierto"",""Hall de alcobas"",""Jacuzzi"",""Zona de lavandería"",""Instalación de gas natural"",""Closets 4"",""Número de líneas teléfonicas 0"",""Se permite fumar"",""Calentador gas"",""Tipo de casa tradicional"",""Tipo de cocina abierta"",""Tipo de comedor comedor independiente"",""Tipo de estufa gas"",""Tipo de parqueadero propio"",""Tipo acabado de piso porcelanato"",""Tipo de piso en alcobas porcelanato"",""Tipo de piso en comedor porcelanato"",""Tipo de piso en estudio porcelanato"",""Vista interior"",""Area lote 1000 m²"",""Area Terraza/Balcón 20 m²"",""Ascensor"",""Acceso para discapacitados"",""Jardín"",""Piscina"",""Número de Ascensores 1"",""Terraza/Balcón terraza"",""Zona de BBQ"",""Zonas verdes"",""Cerca centros comerciales"",""Cerca colegios / universidades"",""Cerca parques"",""Cerca supermercados"",""Cerca transporte público"",""Sobre vía principal""]",-73.10195,7.1038394,670,670,5,5,3,0
"Apartamento en Venta, EL PRADO, Bucaramanga",/inmueble/venta-apartamento-bucaramanga-el-prado-4-habitaciones-5-banos/12499-3671,12499-3671,700000000,venta - Apartamento,Bucaramanga,Nororiente,EL PRADO,venta,Apartamento,Entre 10 y 20 años,5,true,"[""Cuarto de servicio"",""Estudio o biblioteca"",""Hall de alcobas"",""Instalación de gas natural"",""Closets 4"",""Piso 1"",""Calentador gas"",""Tipo de comedor comedor independiente"",""Tipo de estufa electrica"",""Area Terraza/Balcón 8 m²"",""Ascensor"",""Conjunto cerrado"",""Número de Ascensores 2"",""Terraza/Balcón balcón"",""Vigilancia 24hrs"",""Cerca supermercados""]",-73.11064,7.121373,250,250,4,5,0,800000
"Apartamento en Venta, PROVENZA, Bucaramanga",/inmueble/venta-apartamento-bucaramanga-provenza-3-habitaciones-2-banos-1-garajes/5066-M4670586,5066-M4670586,280000000,venta - Apartamento,Bucaramanga,Suroccidente,PROVENZA,venta,Apartamento,Entre 0 y 5 años,4,true,"[""Tipo de cortinas ninguna"",""Parqueadero cubierto"",""Zona de lavandería"",""Instalación de gas natural"",""Closets 3"",""Piso 3"",""Calentador gas"",""Tipo de cocina en l"",""Tipo de comedor sala comedor"",""Deposito 0"",""Tipo de estufa gas"",""Tipo de parqueadero propio"",""Tipo acabado de piso cerámica"",""Tipo de piso en alcobas cerámica"",""Tipo de piso en comedor cerámica"",""Tipo de piso en sala cerámica"",""Vista interior"",""Conjunto cerrado"",""Número de Ascensores 0"",""Vigilancia 24hrs"",""Zona de BBQ"",""Cerca colegios / universidades"",""Cerca parques"",""Cerca supermercados"",""Cerca transporte público"",""Sobre vía secundaria""]",-73.11407,7.084771,90,90,3,2,1,122000
"Apartamento en Venta, LA AURORA, Bucaramanga",/inmueble/venta-apartamento-bucaramanga-mejoras-publicas-2-habitaciones-2-banos-1-garajes/16719-M4792862,16719-M4792862,280000000,venta - Apartamento,Bucaramanga,Centro,MEJORAS PUBLICAS,venta,Apartamento,Entre 5 y 10 años,4,true,"[""Apto para niños"",""Citófonos"",""Parqueadero cubierto"",""Hall de alcobas"",""Zona de lavandería"",""Instalación de gas natural"",""Closets 2"",""Piso 8"",""Calentador no tiene"",""Tipo de comedor sala comedor"",""Deposito 0"",""Tipo de estufa gas"",""Tipo de parqueadero propio"",""Vista exterior"",""Area Terraza/Balcón 2 m²"",""Ascensor"",""Piscina"",""Vista panorámica"",""Conjunto cerrado"",""Número de Ascensores 2"",""Terraza/Balcón balcón"",""Cancha(s) de basket"",""Cancha(s) de fútbol"",""Gimnasio"",""Salón comunal"",""Zona de BBQ"",""Zona para niños"",""Zonas verdes"",""Cerca parques"",""Cerca supermercados"",""Cerca transporte público"",""Sobre vía principal""]",-73.1159,7.1245823,62.6,62.6,2,2,1,299000
"Apartamento en Venta, TORRE DE LA VITA, Bucaramanga",/inmueble/venta-apartamento-bucaramanga-bolivar-3-habitaciones-2-banos-1-garajes/14813-M4756957,14813-M4756957,280000000,venta - Apartamento,Bucaramanga,Centro,BOLIVAR,venta,Apartamento,Entre 0 y 5 años,4,true,"[""Apto para niños"",""Alarma"",""Citófonos"",""Parqueadero cubierto"",""Equipado / amoblado"",""Puerta seguridad"",""Sauna / turco"",""Zona de lavandería"",""Instalación de gas natural"",""Closets 3"",""Piso 9"",""Calentador gas"",""Tipo de cocina lineal"",""Tipo de comedor sala comedor"",""Deposito 0"",""Tipo de estufa gas"",""Tipo de parqueadero propio"",""Tipo acabado de piso cerámica"",""Tipo de piso en alcobas cerámica"",""Tipo de piso en comedor cerámica"",""Tipo de piso en estudio cerámica"",""Tipo de piso en sala cerámica"",""Vista exterior"",""Ascensor"",""Acceso para discapacitados"",""Circuito cerrado de TV"",""Piscina"",""Vista panorámica"",""Conjunto cerrado"",""Número de Ascensores 3"",""Vigilancia 24hrs"",""Cancha(s) de fútbol"",""Salón comunal"",""Zona de BBQ"",""Zona para niños"",""Cerca centros comerciales"",""Cerca colegios / universidades"",""Cerca parques"",""Cerca supermercados"",""Cerca transporte público"",""Sobre vía principal""]",-73.12096,7.118391,66,66,3,2,1,181000
"Apartamento en Venta, GERMANÍA, Bucaramanga",/inmueble/venta-apartamento-bucaramanga-el-tejar-3-habitaciones-2-banos-2-garajes/16721-M4802761,16721-M4802761,495000000,venta - Apartamento,Bucaramanga,Suroriente,EL TEJAR,venta,Apartamento,Entre 5 y 10 años,5,true,"[""Apto para niños"",""Citófonos"",""Tipo de cortinas ninguna"",""Estudio o biblioteca"",""Parqueadero cubierto"",""Hall de alcobas"",""Sauna / turco"",""Zona de lavandería"",""Instalación de gas natural"",""Closets 3"",""Piso 19"",""Calentador gas"",""Tipo de cocina paralela"",""Tipo de comedor sala comedor"",""Deposito 1"",""Tipo de estufa gas"",""Tipo de parqueadero propio"",""Tipo acabado de piso porcelanato"",""Tipo de piso en alcobas porcelanato"",""Tipo de piso en comedor porcelanato"",""Tipo de piso en estudio porcelanato"",""Tipo de piso en sala porcelanato"",""Vista exterior"",""Area Terraza/Balcón 4.5 m²"",""Ascensor"",""Acceso para discapacitados"",""Circuito cerrado de TV"",""Piscina"",""Vista panorámica"",""Conjunto cerrado"",""Número de Ascensores 2"",""Terraza/Balcón balcón"",""Vigilancia 24hrs"",""Cancha(s) de basket"",""Cancha(s) de fútbol"",""Gimnasio"",""Zona de BBQ"",""Zonas verdes"",""Cerca centros comerciales"",""Cerca colegios / universidades"",""Cerca parques"",""Cerca supermercados"",""Cerca transporte público"",""Sobre vía principal""]",-73.10544,7.0986886,97,97,3,2,2,320000
"Apartamento en Venta, CACIQUE, Bucaramanga",/inmueble/venta-apartamento-bucaramanga-alto-viento-i-3-habitaciones-3-banos-1-garajes/5066-M3349676,5066-M3349676,250000000,venta - Apartamento,Bucaramanga,Suroriente,ALTO VIENTO I,venta,Apartamento,Entre 5 y 10 años,3,true,"[""Apto para niños"",""Citófonos"",""Tipo de cortinas persianas"",""Estudio o biblioteca"",""Parqueadero cubierto"",""Zona de lavandería"",""Instalación de gas natural"",""Closets 3"",""Piso 5"",""Se permite fumar"",""Calentador no tiene"",""Tipo de cocina en l"",""Tipo de comedor sala comedor"",""Deposito 0"",""Tipo de estufa gas"",""Tipo de parqueadero propio"",""Tipo acabado de piso cerámica"",""Tipo de piso en alcobas cerámica"",""Tipo de piso en comedor cerámica"",""Tipo de piso en estudio cerámica"",""Tipo de piso en sala cerámica"",""Vista exterior"",""Area Terraza/Balcón 15 m²"",""Vista panorámica"",""Conjunto cerrado"",""Número de Ascensores 0"",""Terraza/Balcón terraza"",""Vigilancia 24hrs"",""Zona para niños"",""Zonas verdes"",""Cerca centros comerciales"",""Cerca colegios / universidades"",""Cerca parques"",""Cerca supermercados"",""Cerca transporte público"",""Sobre vía secundaria""]",-73.10369,7.092532,82,82,3,3,1,215000
"Apartamento en Venta, Alarcon, Bucaramanga",/inmueble/venta-apartamento-bucaramanga-alarcan-2-habitaciones-2-banos-1-garajes/12693-M4775685,12693-M4775685,224000000,venta - Apartamento,Bucaramanga,Noroccidente,ALARCA¿N,venta,Apartamento,Entre 0 y 5 años,4,true,"[""Piso 11""]",-73.124725,7.1267514,52,52,2,2,1,263000
"Apartamento en Venta, MODELO, Bucaramanga",/inmueble/venta-apartamento-bucaramanga-modelo-1-habitaciones-1-banos/12499-3841,12499-3841,145000000,venta - Apartamento,Bucaramanga,Noroccidente,MODELO,venta,Apartamento,Entre 10 y 20 año,4,true,"[""Piso 1""]",-73.12838,7.135202,31,31,1,1,0,78300
"Apartamento en Venta, SOTOMAYOR, Bucaramanga",/inmueble/venta-apartamento-bucaramanga-sotomayor-3-habitaciones-2-banos-1-garajes/883-M4687991,883-M4687991,535000000,venta - Apartamento,Bucaramanga,Centro,SOTOMAYOR,venta,Apartamento,Entre 5 y 10 años,6,true,"[""Parqueadero cubierto""]",-73.11383,7.1197944,99,99,3,2,1,360000
"Apartamento en Venta, SOTOMAYOR, Bucaramanga",/inmueble/venta-apartamento-bucaramanga-sotomayor-3-habitaciones-2-banos-1-garajes/883-M4527495,883-M4527495,445000000,venta - Apartamento,Bucaramanga,Centro,SOTOMAYOR,venta,Apartamento,Entre 5 y 10 años,6,true,"[""Citófonos"",""Parqueadero cubierto"",""Equipado / amoblado"",""Sauna / turco"",""Zona de lavandería"",""Closets 3"",""Piso 15"",""Ascensor"",""Acceso para discapacitados"",""Circuito cerrado de TV"",""Piscina"",""Número de Ascensores 2"",""Vigilancia 24hrs"",""Gimnasio"",""Salón comunal"",""Zona para niños"",""Cerca centros comerciales"",""Cerca colegios / universidades"",""Cerca parques"",""Cerca supermercados"",""Cerca transporte público""]",-73.11363,7.1146755,86.71,86.71,3,2,1,480000
"Casa en Venta, Estoraques, Bucaramanga",/inmueble/venta-casa-bucaramanga-conjunto-cerrado-punta-estrella-casas-3-habitaciones-2-banos-1-garajes/12693-M4579422,12693-M4579422,250000000,venta - Casa,Bucaramanga,Occidente,CONJUNTO CERRADO PUNTA ESTRELLA CASAS,venta,Casa,Más de 20 años,3,true,"[""Piso 3"",""Area lote 134 m²""]",-73.14505,7.0890365,134,134,3,2,1,180000
"Casa en Venta, El Tejar, Bucaramanga",/inmueble/venta-casa-bucaramanga-conjunto-residencial-mirador-del-cacique-3-habitaciones-3-banos-1-garajes/12693-M4579627,12693-M4579627,680000000,venta - Casa,Bucaramanga,,CONJUNTO RESIDENCIAL MIRADOR DEL CACIQUE,venta,Casa,Más de 20 años,5,true,"[""Piso 2"",""Area lote 154 m²""]",-73.102936,7.096778,154,154,3,3,1,300000
"Apartamento en Venta, Mejoras Publicas, Bucaramanga",/inmueble/venta-apartamento-bucaramanga-mejoras-publicas-3-habitaciones-3-banos-1-garajes/12693-M4579636,12693-M4579636,350000000,venta - Apartamento,Bucaramanga,Centro,MEJORAS PUBLICAS,venta,Apartamento,Más de 20 años,4,true,"[""Piso 1""]",-73.11442,7.120394,140,140,3,3,1,60000
"Apartamento en Venta, Provenza, Bucaramanga",/inmueble/venta-apartamento-bucaramanga-c-san-lorenzo-de-provenza-i-3-habitaciones-2-banos-1-garajes/12693-M4579592,12693-M4579592,350000000,venta - Apartamento,Bucaramanga,Suroccidente,C  SAN LORENZO DE PROVENZA I,venta,Apartamento,Entre 0 y 5 años,4,true,"[""Piso 14""]",-73.11732,7.0850935,88,88,3,2,1,300000
"Apartamento en Venta, Bolarqui, Bucaramanga",/inmueble/venta-apartamento-bucaramanga-bolarqui-3-habitaciones-3-banos-1-garajes/12693-M3399396,12693-M3399396,450000000,venta - Apartamento,Bucaramanga,Centro,BOLARQUI,venta,Apartamento,Entre 10 y 20 años,6,true,"[""Piso 5""]",-73.11346,7.110765,101,101,3,3,1,420000
"Apartamento en Venta, Sotomayor, Bucaramanga",/inmueble/venta-apartamento-bucaramanga-mejoras-publicas-4-habitaciones-3-banos-1-garajes/12693-M4579476,12693-M4579476,700000000,venta - Apartamento,Bucaramanga,Centro,MEJORAS PUBLICAS,venta,Apartamento,Más de 20 años,5,true,"[""Piso 9""]",-73.11237,7.121036,214,214,4,3,1,700000
"Apartamento en Venta, Antonia Santos Centro, Bucaramanga",/inmueble/venta-apartamento-bucaramanga-centro-3-habitaciones-4-banos-1-garajes/12693-M4579571,12693-M4579571,350000000,venta - Apartamento,Bucaramanga,Centro,CENTRO,venta,Apartamento,Más de 20 años,4,true,"[""Piso 3""]",-73.1227,7.12049,197,197,3,4,1,471000
"Apartamento en Venta, SAN AGUSTIN APARTAMENTOS, Bucaramanga",/inmueble/venta-apartamento-bucaramanga-comuneros-1-habitaciones-1-banos/14813-M4762444,14813-M4762444,175000000,venta - Apartamento,Bucaramanga,Noroccidente,COMUNEROS,venta,Apartamento,Entre 0 y 5 años,3,true,"[""Apto para niños"",""Equipado / amoblado"",""Zona de lavandería"",""Instalación de gas natural"",""Closets 1"",""Piso 1"",""Calentador gas"",""Tipo de cocina lineal"",""Tipo de comedor sala comedor"",""Deposito 0"",""Tipo de estufa gas"",""Tipo acabado de piso baldosa"",""Tipo de piso en alcobas baldosa"",""Tipo de piso en comedor baldosa"",""Tipo de piso en estudio baldosa"",""Tipo de piso en sala baldosa"",""Vista interior"",""Ascensor"",""Acceso para discapacitados"",""Piscina"",""Conjunto cerrado"",""Número de Ascensores 1"",""Vigilancia 24hrs"",""Zona de BBQ"",""Zona para niños"",""Cerca colegios / universidades"",""Cerca parques"",""Cerca supermercados"",""Cerca transporte público"",""Sobre vía secundaria""]",-73.1282,7.1387043,38,38,1,1,0,160000
"Casa en Venta, CABECERA DEL LLANO, Bucaramanga",/inmueble/venta-casa-bucaramanga-cabecera-del-llano-5-habitaciones-5-banos-2-garajes/11295-M4849512,11295-M4849512,1205361276,venta - Casa,Bucaramanga,Nororiente,CABECERA DEL LLANO,venta,Casa,Más de 20 años,6,true,"[""Zona de lavandería"",""Tipo de casa tradicional"",""Vista exterior""]",-73.10932,7.1191335,442,442,5,5,2,1205361276
"Apartamento en Venta, El Tejar, Bucaramanga",/inmueble/venta-apartamento-bucaramanga-urbanizacian-portal-del-cacique-3-habitaciones-2-banos-2-garajes/646-M4843548,646-M4843548,490000000,venta - Apartamento,Bucaramanga,Suroriente,URBANIZACIA¿N PORTAL DEL CACIQUE,venta,Apartamento,Entre 10 y 20 años,5,true,"[""Baño auxiliar"",""Citófonos"",""Instalación de gas natural"",""Piso 7"",""Tipo de cocina lineal"",""Tipo de comedor sala comedor"",""Tipo acabado de piso porcelanato"",""Tipo de piso en alcobas porcelanato"",""Tipo de piso en comedor porcelanato"",""Tipo de piso en estudio porcelanato"",""Tipo de piso en sala porcelanato"",""Vista exterior"",""Piscina"",""Terraza/Balcón balcón"",""Vigilancia 0"",""Cerca centros comerciales"",""Cerca parques"",""Cerca supermercados"",""Cerca transporte público""]",-73.105,7.098,85.86,96.25,3,2,2,350000
"Apartamento en Venta, Mutis, Bucaramanga",/inmueble/venta-apartamento-bucaramanga-mutis-3-habitaciones-2-banos-1-garajes/10151-M4895717,10151-M4895717,154980000,venta - Apartamento,Bucaramanga,Occidente,MUTIS,venta,Apartamento,Más de 20 años,3,true,"[""Vigilancia"",""Calentador no tiene"",""Tipo de comedor comedor independiente"",""Vigilancia 24hrs"",""Zona residencial""]",-73.13241,7.09796,63,63,3,2,1,180000
"Apartamento en Venta, Sotomayor, Bucaramanga",/inmueble/venta-apartamento-bucaramanga-sotomayor-3-habitaciones-3-banos-1-garajes/314-M4623523,314-M4623523,380000000,venta - Apartamento,Bucaramanga,Centro,SOTOMAYOR,venta,Apartamento,Entre 10 y 20 años,6,true,"[""Calefacción"",""Estudio o biblioteca"",""Instalación de gas ninguno"",""Tipo de cocina lineal"",""Tipo de comedor sala comedor"",""Tipo acabado de piso otro"",""Tipo de piso en alcobas otro"",""Tipo de piso en comedor otro"",""Tipo de piso en estudio otro"",""Tipo de piso en sala otro"",""Piscina"",""Conjunto cerrado"",""Terraza/Balcón balcón"",""Vigilancia 0""]",-73.114,7.116,95.72,95.72,3,3,1,479000
"Apartamento en Venta, Sotomayor, Bucaramanga",/inmueble/venta-apartamento-bucaramanga-la-aurora-3-habitaciones-2-banos-1-garajes/15916-M4845995,15916-M4845995,525000000,venta - Apartamento,Bucaramanga,Centro,LA AURORA,venta,Apartamento,Entre 5 y 10 años,5,true,"[""Baño auxiliar"",""Citófonos"",""Cocina integral"",""Zona de lavandería"",""Piso 12"",""Ascensor"",""Baños de servicio"",""Parqueadero visitantes"",""Piscina"",""Vista panorámica"",""Conjunto cerrado"",""Gimnasio"",""Salón comunal"",""Zona para niños"",""Zonas verdes"",""Cerca colegios / universidades"",""Cerca parques"",""Cerca transporte público"",""Zona comercial""]",-73.119316,7.1278915,105,105,3,2,1,320000
"Apartamento en Venta, EL PRADO, Bucaramanga",/inmueble/venta-apartamento-bucaramanga-cabecera-del-llano-3-habitaciones-4-banos/12499-3648,12499-3648,435000000,venta - Apartamento,Bucaramanga,Nororiente,CABECERA DEL LLANO,venta,Apartamento,Entre 10 y 20 año,5,true,"[""Piso 1""]",-73.10877,7.122971,142,142,3,4,0,560000
"Apartamento en Venta, NUEVO SOTOMAYOR, Bucaramanga",/inmueble/venta-apartamento-bucaramanga-bolarqui-3-habitaciones-3-banos/12499-3737,12499-3737,770000000,venta - Apartamento,Bucaramanga,Centro,BOLARQUI,venta,Apartamento,Entre 10 y 20 año,4,true,"[""Piso 1""]",-73.114685,7.1108837,134,134,3,3,0,420000
"Apartamento en Venta, Sector Mutualidad Bucaramanga, Bucaramanga",/inmueble/venta-apartamento-bucaramanga-sector-mutualidad-bucaramanga-3-habitaciones-2-banos/11295-M4850834,11295-M4850834,194266000,venta - Apartamento,Bucaramanga,,SECTOR MUTUALIDAD BUCARAMANGA,venta,Apartamento,Entre 5 y 10 años,3,true,"[""Piso 1"",""Vista exterior"",""Ascensor"",""Conjunto cerrado"",""Número de Ascensores 1"",""Vigilancia 24hrs""]",0,0,57,57,3,2,0,199000
